"สาขาวิชา","ชาย","หญิง","ไม่ระบุเพศ","แรงงานไทย","แรงงานต่างด้าว","แรงงานที่ต้องการรวม"
"ป.ตรีภาษาอังกฤษ (การสอน)","0","2","0","1","1","2"
"การบริการ","0","2","0","2","0","2"
"ป.ตรีบริหารธุรกิจ","0","1","1","2","0","2"
"วิศวกรรมไฟฟ้าอิเล็คทรอนิกส์ และสาขาอื่นๆที่เกี่ยวข้อง","1","0","1","2","0","2"
"วิชาการบัญชี","1","1","0","2","0","2"
"ป.ตรีวิศวกรรมเขียนแบบและออกแบบการผลิต","0","0","2","2","0","2"
"ป.ตรีคอมพิวเตอร์และเทคโนโลยีสารสนเทศ","0","0","2","2","0","2"
"บริหาร และ อื่นๆ","0","0","2","2","0","2"
"เขียนแบบ","0","0","2","2","0","2"
"นิเทศศาสตร์ / สื่อสารมวลชนและการเอกสาร","1","0","1","2","0","2"
"ป.ตรีวิศวกรรมคอมพิวเตอร์และระบบอัติโนมัติ","2","0","0","2","0","2"
"วิศวกรรมไฟฟ้า","0","0","2","2","0","2"
"ป. ตรีมัธยมศึกษา (วิทยาศาสตร์-คณิตศาสตร์)","0","2","0","2","0","2"
"บริหารจัดการ","0","2","0","2","0","2"
"ป.ตรีเทคโนโลยีและสื่อสารการศึกษา","1","1","0","2","0","2"
"Information and Technology หรือที่เกี่ยวข้อง","1","0","1","2","0","2"
"ป.ตรีการจัดการทั่วไป และสาขาที่เกี่ยวข้อง","0","0","2","2","0","2"
"Electrical Engineering or related field","2","0","0","2","0","2"
"ป.ตรีการออกแบบผลิตภัณฑ์","2","0","0","2","0","2"
"ป.ตรีการตลาดระหว่างประเทศ","0","0","2","2","0","2"
"วิศววกรรมเคมี","0","0","2","2","0","2"
"ป.ตรีกฏหมายทั่วไป","0","0","2","2","0","2"
"การตลาด/บริหารคอมพิวเตอร์","0","0","2","2","0","2"
"อุตสาหการ","0","0","2","2","0","2"
"กราฟฟิคดีไซน์ หรือโซเซียลมีเดีย","0","0","2","2","0","2"
"วิศวกรรมการโยธา","2","0","0","2","0","2"
"ป.ตรีวิทยาการจัดการอุตสาหกรรม","2","0","0","2","0","2"
"ปริญญาตรี","0","0","2","2","0","2"
"ป.ตรีบริหารการตลาด","0","0","2","2","0","2"
"ป.ตรีช่างยนต์","2","0","0","2","0","2"
"ป.ตรีบริหารธุรกิจระหว่าง ประเทศ","0","2","0","2","0","2"
"ป.ตรีการบริหารธุรกิจ แขนงวิชาการเลขานุการ","0","2","0","2","0","2"
"ป.ตรีวิศวกรรมอุตสาหการ (เชื่อมประสาน)","2","0","0","2","0","2"
"Electrical Engineering","0","0","2","2","0","2"
"ช่างไฟฟ้า","2","0","0","2","0","2"
"ป.ตรีมนุษยศาสตร์ , มานุษยวิทยา","0","2","0","2","0","2"
"อาชีวอนามัยและความปลอดภัย","2","0","0","2","0","2"
"food,วิทยาศาสตร์,สัตวแพทย์","1","1","0","2","0","2"
"ก่อสร้าง/วิศวกรรมศาตร์","2","0","0","2","0","2"
"คอมพิวเตอร์ธุรกิจ","0","0","2","2","0","2"
"วิศวกรไฟฟ้า","2","0","0","2","0","2"
"ปริญญาตรีเทคโนโลยีอาหาร","0","0","2","2","0","2"
"ปวส. ช่างเครื่องกล","0","0","2","2","0","2"
"การตลาด/เทคโนโลยีสารสนเทศ","0","0","2","2","0","2"
"ไม่จำกัดสาขา แต่มีประสบการณ์ในงานงาน อย่างน้อย 3-5 ปี","0","0","2","2","0","2"
"วิสวกรรม","0","0","2","2","0","2"
"ป.ตรีการออกแบบผลิตภัณฑ์, ศิลปะอุตสาหกรรม","0","2","0","2","0","2"
"บริหารการจัดการ","0","0","2","2","0","2"
"บัญชี/ตรวจสอบภายใน","0","0","2","2","0","2"
"ไม่จำกัด แต่ต้องมีประสบการณ์ในสายงาน อย่างน้อย 5-7 ปี","1","0","1","2","0","2"
"การก่อสร้าง/โยธา","2","0","0","2","0","2"
"ป. ตรีประถมศึกษา (ภาษาไทย)","0","0","2","2","0","2"
"ป.ตรีการออกแบบสถาปัตยกรรม","0","0","1","1","0","1"
"ป.ตรีการสอนอุตสาหกรรมศิลป์ (ช่างยนต์)","1","0","0","1","0","1"
"วิศวโยธาและการจัดการ","1","0","0","1","0","1"
"ภาษาอังกฤษ","0","0","1","1","0","1"
"คอมพิวเตอร์ การตลาด ภาษาอังกฤษ","0","1","0","1","0","1"
"ป. ตรีประถมศึกษา (พลศึกษา)","0","0","1","1","0","1"
"ป.ตรีการสอนวิชาชีววิทยาระดับมัธยมศึกษา","1","0","0","1","0","1"
"นิติศาสตร์","1","0","0","1","0","1"
"สาขา วิทยาศาสตร์การอาหารหรือสาขาที่เกี่ยวข้อง","1","0","0","1","0","1"
"ป.ตรีการวิจัยและการพัฒนาหลักสูตร","0","0","1","1","0","1"
"ป.ตรีเทคโนโลยีการบรรจุ","0","0","1","1","0","1"
"ป.ตรีเทคโนโลยีและนวัตกรรมทาง การศึกษา","0","0","1","1","0","1"
"วิทยาศาสตร์คอมพิวเตอร์","0","0","1","1","0","1"
"วิทยาศาสตร์สาขาเคมี/ชีววิทยา","0","1","0","1","0","1"
"ป.ตรีการศึกษานอกระบบ-คหกรรมศาสตร์","0","1","0","1","0","1"
"ป.ตรีวิทยาศาสตร์ศึกษา","0","0","1","1","0","1"
"ป.ตรีการสอนธุรกิจศิลป์ (บริหารธุรกิจ)","1","0","0","1","0","1"
"ป.ตรีการสอนคหกรรมศาสตร์","0","0","1","1","0","1"
"บริหารธุรกิจ / บัญชี","0","0","1","1","0","1"
"ปริญญาตรีสาขาบัญชี","0","1","0","1","0","1"
"ป.ตรีภาษาต่างประเทศ","1","0","0","1","0","1"
"ป.ตรี เทคโนโลยีอาหาร","0","0","1","1","0","1"
"Electrical, Chemical, Mechanical. Energy Engineering","0","0","1","1","0","1"
"การสอน","1","0","0","0","1","1"
"สาขาไฟฟ้าหรือสาขาอื่นที่เกี่ยวข้อง","0","0","1","1","0","1"
"ป.ตรีออกแบบภายใน","1","0","0","1","0","1"
"ปฐมวัย และสาขาที่เกี่ยวข้อง","0","1","0","1","0","1"
"โพลิเมอร์","0","0","1","1","0","1"
"ป.ตรีภาษาอังกฤษธุรกิจ","0","0","1","1","0","1"
"ภาษาญี่ปุ่น หรือเกี่ยวข้อง","0","0","1","1","0","1"
"ช่างไฟฟ้า","1","0","0","1","0","1"
"ป.ตรีอาชีวอนามัยหรือเทียบเท่า","0","0","1","1","0","1"
"วิศวกรรมไฟฟ้า","1","0","0","1","0","1"
"Business Administration, Marketing or related filed","0","0","1","1","0","1"
"ป. ตรีประถมศึกษา (การสอนเด็กพิเศษ)","0","1","0","1","0","1"
"ป.ตรีการศึกษาคณิตศาสตร์","0","1","0","1","0","1"
"ป.ตรีบริหารการศึกษา","0","1","0","1","0","1"
"ป.ตรีการสอนภาษาไทย","0","1","0","1","0","1"
"วิศวกรรรมยานยนต์","1","0","0","1","0","1"
"ป.ตรีประมง","1","0","0","1","0","1"
"ป.ตรีบริหารอุตสาหการ","1","0","0","1","0","1"
"บริหาร, การตลาด , มนุษยศาสร์","0","0","1","1","0","1"
"ป.ตรีเคมีเทคนิค","0","0","1","1","0","1"
"ป.ตรีจิตวิทยาอุตสาหกรรม","0","0","1","1","0","1"
"ปริญญาตรีวิทยาศาสตร์เคมี","0","0","1","1","0","1"
"ป.ตรีสื่อสารมวลชน","0","0","1","1","0","1"
"ป.ตรีอิเล็กทรอนิกส์","1","0","0","1","0","1"
"การบัญชี","0","0","1","1","0","1"
"การก่อสร้าง/สถาปัตย์","0","0","1","1","0","1"
"ป.ตรีเกษตรกรรม","1","0","0","1","0","1"
"ป.ตรีมานุษยสงเคราะห์","0","0","1","1","0","1"
"วิศว","1","0","0","1","0","1"
"สิ่งแวดล้อม อาชีวอนามัย หรือสาขาที่เกี่ยวข้อง","0","0","1","1","0","1"
"ป.ตรีการออกแบบสถาปัตยกรรม หรือที่เกี่ยวข้อง","1","0","0","1","0","1"
"ป.ตรีการบริหารธุรกิจ แขนงวิชาการบริหารงานอุตสาหกรรม","0","1","0","1","0","1"
"ปริญญาตรี สาขาบริหารทรัพยากรมนุษย์ หรือที่เกี่ยวข้อง","1","0","0","1","0","1"
"การเงิน การบัญชี","0","0","1","1","0","1"
"ป.ตรีหมวดการเงิน","0","1","0","1","0","1"
"ป.ตรีการสอนภาษาจีน","0","0","1","1","0","1"
"ปริญญาตรีสาขาเทคโนโลยีการอาหาร  หรือสาขาที่เกี่ยวข้อง","0","0","1","1","0","1"
"ป.ตรีบริหารธุรกิจ-การบัญชี","0","1","0","1","0","1"
"ป. ตรีการตลาด","0","1","0","1","0","1"
"ป. ตรีบัญชี/การเงิน","0","1","0","1","0","1"
"ป.ตรีรัฐศาสตร์ / การบริหาร","0","0","1","1","0","1"
"Industrial Engineer","0","1","0","1","0","1"
"ป.ตรีอาชีวศึกษา/อุดมศึกษา","0","0","1","1","0","1"
"บริหารธุรกิจ หรือสาขาที่เกี่ยวข้อง","0","0","1","1","0","1"
"บริการการจัดการ","0","0","1","1","0","1"
"การจัดการโลจิสติกส์","1","0","0","1","0","1"
"ป. ตรีประถมศึกษา","0","0","1","1","0","1"
"ป.ตรีวิศวกรรมไฟฟ้า","1","0","0","1","0","1"
"ป.ตรีการประกันภัย","0","1","0","1","0","1"
"ป.ตรีกฎหมาย","1","0","0","1","0","1"
"บริหารทรัพยากรบุคคล","0","1","0","1","0","1"
"ป.ตรีเภสัชกรรม","0","0","1","1","0","1"
"ป.ตรีวิศวกรรมสำรวจ","1","0","0","1","0","1"
"ป.ตรีการบริหารธุรกิจ แขนงวิชาการบริหารงานทั่วไป","0","1","0","1","0","1"
