"สาขาวิชา","ชาย","หญิง","ไม่ระบุเพศ","แรงงานไทย","แรงงานต่างด้าว","แรงงานที่ต้องการรวม"
"การตลาด/เทคโนโลยีสารสนเทศ","0","0","2","2","0","2"
"ไม่จำกัดสาขา แต่มีประสบการณ์ในงานงาน อย่างน้อย 3-5 ปี","0","0","2","2","0","2"
"ป.ตรีวิศวกรรมไฟฟ้า (เทคโนโลยีไฟฟ้าอุตสาหกรรม)","0","0","2","2","0","2"
"บริหารการจัดการ","0","0","2","2","0","2"
"บัญชี/ตรวจสอบภายใน","0","0","2","2","0","2"
"ป.ตรีวิทยาศาสตร์การอาหาร","0","0","2","2","0","2"
"ป.ตรีเทคนิคการแพทย์","0","0","2","2","0","2"
"ปวส. ธุรกิจบริการ","0","2","0","2","0","2"
"การออกแบบ/กราฟิกดีไซต์","0","0","2","2","0","2"
"ปวช.ช่างยนต์","2","0","0","2","0","2"
"การก่อสร้าง/โยธา","2","0","0","2","0","2"
"ป. ตรีประถมศึกษา (ภาษาไทย)","0","0","2","2","0","2"
"Logistic or any related field","0","1","1","2","0","2"
"ปวส. เทคโนโลยีสารสนเทศ","1","1","0","2","0","2"
"ป.ตรีบริหารธุรกิจ-การตลาด","0","0","2","2","0","2"
"ป.ตรีอุตสาหกรรม","1","1","0","2","0","2"
"วิศวกร","0","0","2","2","0","2"
"ภูมิทัศน์สถาปัตย์พืชสวน","0","0","2","2","0","2"
",สัตวแพทย์","1","1","0","2","0","2"
"ปวส.การบัญชี","0","0","2","2","0","2"
"-พานิชยกรรม-คอม-บัญชี","0","0","2","2","0","2"
"ป.ตรีก่อสร้าง","2","0","0","2","0","2"
"ป.ตรีไฟฟ้าอิเลคทรอนิคส์","2","0","0","2","0","2"
"ช่างกลโรงงาน ช่างกลึง","2","0","0","2","0","2"
"Qualifications in Business (Accounting) or Commerce","0","1","0","1","0","1"
"ป.ตรีการออกแบบผลิตภัณฑ์, ศิลปะอุตสาหกรรม","0","1","0","1","0","1"
"ป.ตรีการบริหารธุรกิจ","1","0","0","1","0","1"
"ไม่จำกัด แต่ต้องมีประสบการณ์ในสายงาน อย่างน้อย 5-7 ปี","0","0","1","1","0","1"
"วิศวกรรมคอมฯ สาขาวิทยาการคอมฯ  มีประสบการณ์ในสายงาน 1-2 ปี","0","0","1","1","0","1"
"ไม่จำกัด แต่ต้องมีประสบการณ์ในสายงาน อย่างน้อย 3-5 ปี","0","0","1","1","0","1"
"ไม่จำกัด แต่ต้องมีประสบการณ์ในสายงาน อย่างน้อย 7-10 ปี","0","0","1","1","0","1"
"ป.ตรีวิจัย","0","0","1","1","0","1"
"ป.ตรีรังสีเทคนิค","0","1","0","1","0","1"
"ป.ตรีเศรษฐศาสตร์เกษตร","1","0","0","1","0","1"
"ป.ตรีภาษาไทย-การศึกษานอกระบบ","0","0","1","1","0","1"
"Programmer","0","1","0","1","0","1"
"ป. ตรีพื้นฐานการศึกษา","0","1","0","1","0","1"
"การขายการตลาด","0","0","1","1","0","1"
"พาณิชยการ","0","1","0","1","0","1"
"ปวส. การท่องเที่ยว","0","1","0","1","0","1"
"นิติศาสตร์​","0","0","1","1","0","1"
"บริหารทั่วไป","0","1","0","1","0","1"
