"สาขาวิชา","ชาย","หญิง","ไม่ระบุเพศ","แรงงานไทย","แรงงานต่างด้าว","แรงงานที่ต้องการรวม"
"Electrical Engineering or related field","2","0","0","2","0","2"
"ป.ตรีการออกแบบผลิตภัณฑ์","2","0","0","2","0","2"
"วิศววกรรมเคมี","0","0","2","2","0","2"
"ป.ตรีบัญชี","0","0","2","2","0","2"
"กราฟฟิคดีไซน์ หรือโซเซียลมีเดีย","0","0","2","2","0","2"
"นิติศาสตร์","1","1","0","2","0","2"
"ป.ตรีวิทยาการจัดการอุตสาหกรรม","2","0","0","2","0","2"
"อุตสาหการ","0","0","2","2","0","2"
"ผู้ควบคุม","2","0","0","2","0","2"
"ป.ตรีเศรษฐศาสตร์การเงินและการคลัง","0","0","2","2","0","2"
"วิศวกรรมศาตร์ สาขาเครื่องกลหรือสาขาที่เกี่ยวข้อง","2","0","0","2","0","2"
"ปวช. ช่างสำรวจ","2","0","0","2","0","2"
"ป.ตรีการจัดการโรงแรม","0","2","0","2","0","2"
"ป.ตรีศิลปการพิมพ์","2","0","0","2","0","2"
"ปวส. ช่างอุตสาหกรรม","2","0","0","2","0","2"
"ป.ตรีการบริหารธุรกิจ แขนงวิชาการบัญชี","0","0","2","2","0","2"
"ชีวภาพ หรือสาขาที่เกี่ยวข้อง","0","0","2","2","0","2"
"การจัดการ และบัญชี","1","0","1","2","0","2"
"ปวส. ช่างเทคนิคการหล่อ","2","0","0","2","0","2"
"ป.ตรีภาษาอังกฤษ (การสอน)","0","2","0","1","1","2"
"ป.ตรีภาษาอังกฤษธุรกิจ","0","0","1","1","0","1"
"ธุรการ","0","0","1","1","0","1"
"ปวช ช่าง","1","0","0","1","0","1"
"วิศวกรรมโลจิสติกส์","1","0","0","1","0","1"
"ป. ตรีประถมศึกษา (การสอนเด็กพิเศษ)","0","1","0","1","0","1"
"ป.ตรีการศึกษาคณิตศาสตร์","0","1","0","1","0","1"
"ป.ตรีบริหารการศึกษา","0","1","0","1","0","1"
"เครื่องกลไฟฟ้า","1","0","0","1","0","1"
"ป.ตรีการสอนภาษาไทย","0","1","0","1","0","1"
"วิศวกรรรมยานยนต์","1","0","0","1","0","1"
"ช่างกลหรือช่างยนต์","1","0","0","1","0","1"
"ปวส. ช่างสำรวจ","1","0","0","1","0","1"
"เทคนิคสาระสนเทศ","1","0","0","1","0","1"
"ป.ตรีประมง","1","0","0","1","0","1"
"ป.ตรีสัตวแพทยศาสตร์","0","0","1","1","0","1"
"เฉพาะทางด้านไตเทียม","0","0","1","1","0","1"
"ป.ตรีวิศวกรรมอุตสาหการ, วิศวกรรมโรงงานอุตสาหกรรม","1","0","0","1","0","1"
"ป.ตรีการออกแบบสถาปัตยกรรม หรือที่เกี่ยวข้อง","1","0","0","1","0","1"
"[yP=u","0","1","0","1","0","1"
"ป.ตรีการบริหารธุรกิจ แขนงวิชาการบริหารงานอุตสาหกรรม","0","1","0","1","0","1"
"ไฟฟ้ากำลังหรือช่างอุตสาหกรรม","1","0","0","1","0","1"
"ไม่จำกัดสาขา /  ยินดีรับเด็กจบใหม่","0","1","0","1","0","1"
"ปริญญาตรี สาขาบริหารทรัพยากรมนุษย์ หรือที่เกี่ยวข้อง","1","0","0","1","0","1"
"ป.ตรีการตลาดระหว่างประเทศ","0","0","1","1","0","1"
"ออกแบบ","0","0","1","1","0","1"
"นิเทศศาสตร์ / สื่อสารมวลชนและการเอกสาร","1","0","0","1","0","1"
"การเงิน การบัญชี","0","0","1","1","0","1"
"ช่างไฟฟ้าสาขาควบคุม","1","0","0","1","0","1"
"สาขาบัญชี","1","0","0","1","0","1"
"ป.ตรีหมวดการเงิน","0","1","0","1","0","1"
"ป.ตรีการสอนภาษาจีน","0","0","1","1","0","1"
"ปวส. ออกแบบพาณิชย์ศิลป์","0","0","1","1","0","1"
"ป. ตรีมัธยมศึกษา (วิทยาศาสตร์-คณิตศาสตร์)","0","1","0","1","0","1"
"ป.ตรีการสอนอุตสาหกรรมศิลป์(ออกแบบ-เขียนแบบ)","0","0","1","1","0","1"
"เกษคร","1","0","0","1","0","1"
"ป.ตรีการออกแบบสถาปัตยกรรม","0","0","1","1","0","1"
"ป.ตรีการสอนอุตสาหกรรมศิลป์ (ช่างยนต์)","1","0","0","1","0","1"
"วิศวโยธาและการจัดการ","1","0","0","1","0","1"
"ภาษาอังกฤษ","0","0","1","1","0","1"
"คอมพิวเตอร์ การตลาด ภาษาอังกฤษ","0","1","0","1","0","1"
"ปวช. เทคนิคการผลิต","1","0","0","1","0","1"
"ป. ตรีประถมศึกษา (พลศึกษา)","0","0","1","1","0","1"
"ป.ตรีการสอนวิชาชีววิทยาระดับมัธยมศึกษา","1","0","0","1","0","1"
"ภาษาอังกฤษ หรือคณิตศาสตร์","0","0","1","1","0","1"
"เชื่อมโลหะ","1","0","0","1","0","1"
"การเงิน/บัญชี","0","1","0","1","0","1"
"บริหารธุรกิจ / บัญชี","0","0","1","1","0","1"
"ปริญญาตรีสาขาบัญชี","0","1","0","1","0","1"
"ปวส.ก่อสร้าง","1","0","0","1","0","1"
"ป.ตรีภาษาต่างประเทศ","1","0","0","1","0","1"
"ป.ตรี เทคโนโลยีอาหาร","0","0","1","1","0","1"
"Electrical, Chemical, Mechanical. Energy Engineering","0","0","1","1","0","1"
"Electrical, Power Electrical","0","0","1","1","0","1"
"การสอน","1","0","0","0","1","1"
"สาขาไฟฟ้าหรือสาขาอื่นที่เกี่ยวข้อง","0","0","1","1","0","1"
"ไฟ้ฟ้า ,เครื่องกล,ช่างยนต์","1","0","0","1","0","1"
"ปวส. ช่างไฟฟ้า (เครื่องทำความเย็น)","1","0","0","1","0","1"
"ช่างรถยนต์","1","0","0","1","0","1"
"คอมพิวเตอร์กราฟฟิก","0","1","0","1","0","1"
"ป.ตรีนิติศาสตร์","0","0","1","1","0","1"
"ป.ตรีเทคโนโลยีสิ่งแวดล้อม สาขาวิชาเฉพาะวิศวกรรมอนามัยสิ่งแวดล้อม","1","0","0","1","0","1"
"ป.ตรีออกแบบภายใน","1","0","0","1","0","1"
"ปฐมวัย และสาขาที่เกี่ยวข้อง","0","1","0","1","0","1"
"โพลิเมอร์","0","0","1","1","0","1"
